_id,keywords
{ "$oid" : "515edf97dcd7f3713e000001" }," gang member arrest colo correct kill gang member arrest colo correct kill associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 7 48 nbsp friday april 5 2013 denver ap member white supremacist gang link kill colorado prison chief arrest mile state offici shot death answer door author issu alert wednesday law enforc agenc lookout lohr thoma guole identifi associ gang link ebel court record associ press lohr arrest 1992 colorado spring fail report communiti correct center serv sentenc attempt crimin mischief 1996 plead guilti burglar court record order contact estrang wife told polic repeat broke stole item pawn thursday colorado gov john hickenloop announc sweep review state prison parol oper evid pile show ebel slip crack crimin justic system suspect kill state prison chief offici state will audit inmat legal case ensur serv correct amount time"
{ "$oid" : "515edf97dcd7f3713e000002" }," economi add 88k job rate drop 7 6 pct economi add 88k job rate drop 7 6 pct associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 7 48 nbsp friday april 5 2013 labor depart survey larg busi govern agenc determin job lost month gari burtless senior fellow econom studi brook institut note american stop work unemploy benefit analyst economi strengthen januari march help pickup hire sustain recoveri hous steadi consum spend consum step purchas februari januari social secur tax increas year economist steep govern spend cut began march 1 will slow growth spring summer nariman behravesh chief economist ih global insight employ slow hire anticip impact spend cut forecast growth will slow 2 percent annual pace current second quarter rebound impact govern spend cut fade"
{ "$oid" : "515edf97dcd7f3713e000003" }," pope seek decis action sex abus pope seek decis action sex abus franci cite measur protect minor help victim sexual violenc action perpetr emphas draft implement direct bishop confer credibl church"
{ "$oid" : "515edf97dcd7f3713e000004" }," offici obama propos cut social secur offici obama propos cut social secur associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 6 43 nbsp friday april 5 2013 washington ap presid barack obama propos budget will call reduct growth social secur benefit program insist tax wealthi renew attempt strike broad deficit cut deal republican senior administr offici propos aim compromis fiscal 2014 budget combin presid demand higher tax gop insist reduct entitl program encompass obama offer boehner ohio plan will includ reduct medicar spend target payment health care provid drug compani inflat adjust reduc feder spend 10 year 130 billion white hous estim tax bracket adjust generat 100 billion higher tax affect middl incom taxpay"
{ "$oid" : "515edf97dcd7f3713e000005" }," 10 thing today 10 thing today associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 6 29 nbsp friday april 5 2013 labor depart employ 88 000 job march fewest month sharp retreat period strong hire rescuer continu dig rubbl illeg construct build mumbai suburb 40 peopl die structur collaps polic jackson determin murder suspect fatal shot detect question interview room shot dead tragic sink nuclear submarin uss thresher kill 129 men famili continu mourn half centuri accid spur crucial safeti improv submarin facebook app call facebook essenti intrud googl android phone turf creat homescreen bypass googl ad content"
{ "$oid" : "515edf97dcd7f3713e000006" }," pyongyang rumbl skorean pyongyang rumbl skorean associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 5 52 nbsp friday april 5 2013 seoul south korea ap outsid hear open note war delug threat provoc north korea south korean familiar drumbeat separ north heavili fortifi border decad live tough talk pyongyang live statement threaten nuclear strike declar scrap korean war armistic block south korean enter joint industri park announc will restart plutonium reactor produc fuel nuclear bomb north korea vow week restart reactor major south korean daili space front explain govern plan tax break buyer major supermarket chain buy bottl water instant noodl south korea defens minist kim kwan jin told lawmak thursday north korea threat mere rhetor rule chanc small scale conflict north korea shell yeonpyeong island border 2010 shell kill peopl north korea militari assault south korean territori korean war peopl don korean war end truce technic state war kim jin hwan 30 year employe bakeri shop seoul parent japanes student head school trip south korea make call safeti kang deog director develop center korea tourism organ"
{ "$oid" : "515edf98dcd7f3713e000007" }," activist rocket attack syrian capit kill 5 activist rocket attack syrian capit kill 5 associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 4 55 nbsp friday april 5 2013 beirut ap barrag rocket slam contest district northeastern edg damascus kill peopl trap rubbl violenc rage suburb capit activist friday opposit barzeh media center milit websit claim syrian militari fire 14 rocket leav peopl includ children buri rubbl step secur reflect kingdom fear chao syria 2 year civil war lead fail state doorstep islam milit free hand presid bashar assad regim warn thursday kingdom play fire allow countri train arm syrian rebel territori warn statement western arab offici jordan facilit arm shipment host train camp syrian rebel octob"
{ "$oid" : "515edf98dcd7f3713e000008" }," facebook barg googl turf facebook barg googl turf associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 3 52 nbsp friday april 5 2013 york ap facebook applic take front screen smartphon bit corpor invas facebook essenti move googl turf advantag softwar search giant competitor creat facebook will oper phone run googl android softwar facebook status updat messag content screen make user fire facebook app googl android popular smartphon softwar hope will steer phone user googl servic map gmail ad sell morgan analyst doug anmuth increas pressur googl find way peopl spend time social network hasn magnet facebook hangout"
{ "$oid" : "515edf98dcd7f3713e000009" }," ebert critic hollywood ebert critic hollywood associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 2 17 nbsp friday april 5 2013 claim director guild america ebert honorari lifetim member group award ceremoni year ago chicago sun time 1967 decad pioneer film review televis ebert champion tini gem scout film festiv hollywood biggest name task miss mark ebert drew critic thumb thumb trademark tv simplifi film chubbi frame thick rim glass popular notion dweebish critic arbit cultur tast inspir generat tv onlin review woodward bernstein inspir generat investig journalist lost part jaw abil speak cancer surgeri 2006 write fulltim eventu return televis director guild ceremoni featur record testimoni spielberg clint eastwood martin scorses amus recal good bad notic ebert clear review toe unabl speak guild ceremoni cancer surgeri ebert share affect director statement record synthet comput voic british accent ebert thumb resound seal approv thumb kiss death easygo natur passion film hollywood actor filmmak studio boss 1975 ebert gene siskel film critic rival chicago tribun team began chicago pbs station nationwid trade opinion movi set resembl theater balconi"
{ "$oid" : "515edf98dcd7f3713e00000a" }," rutger faculti seek fire coach case rutger faculti seek fire coach case associ press copyright 2013 associ press right reserv materi publish broadcast rewritten redistribut updat 1 49 nbsp friday april 5 2013 brunswick ap call faculti member politician oust top rutger univers administr grew louder day men basketbal coach mike rice fire mistreat player shove berat gay slur 50 faculti member sign letter thursday call dismiss athlet director tim pernetti explan presid robert barchi didn fire rice year learn video show rice behavior practic faculti member cite barchi inexcus handl coach mike rice homophob misogynist abus player pattern insensit arrog issu divers lack transpar exhibit relat faculti staff student barchi neurosci research univers administr hire year ago offic sept 1 lead univers 58 000 student 13 000 faculti member three campus short barchi offic told report high profil sport team increas univers visibl want gradual reduc univers oper subsidi sport current 8 year continu pay scholarship athlet cost 10 annual newark star ledger athlet depart fundrais email rutger booster contact barchi head univers board governor voic support star ledger assist jimmi martelli video shove player associ press letter thursday lawyer eric murdock basketbal program employe video univers offici espn"
